,community,station,latitude,longitude
0,0,Montgomery Street,37.789355,-122.401942
1,0,Powell Street,37.784,-122.408
8,2,El Cerrito Plaza,37.902694,-122.298968
9,2,El Cerrito del Norte,37.925183,-122.316939
10,2,North Berkeley,37.873915,-122.282552
11,2,Richmond,37.936811,-122.353095
16,8,Antioch,37.996281,-121.783404
17,8,Concord,37.973745,-122.029127
18,8,North Concord,38.003273,-122.024599
19,8,Pittsburg,38.018869,-121.944208
20,8,Pittsburg Center,38.018227,-121.890178
21,8,Pleasant Hill,37.928399,-122.055992
22,17,Millbrae,37.6003,-122.3867
23,17,SFO,37.6164,-122.391
24,17,San Bruno,37.6383,-122.4165
25,17,South San Francisco,37.664264,-122.444043
29,33,Bay Fair,37.697,-122.1265
30,33,Castro Valley,37.690748,-122.075679
31,33,Dublin,37.701663,-121.899232
32,33,West Dublin,37.699726,-121.928273
33,43,19th Street,37.807869,-122.26898
34,43,Ashby,37.853068,-122.269957
35,43,Downtown Berkeley,37.869799,-122.268197
36,43,MacArthur,37.82826,-122.267275
42,43,Lafayette,37.893186,-122.124614
44,43,Orinda,37.878427,-122.18374
45,43,Rockridge,37.844452,-122.252083
46,43,Walnut Creek,37.905724,-122.067332
47,165,16th Street Mission,37.764847,-122.420042
48,165,Civic Center,37.779861,-122.413498
55,173,Balboa Park,37.721667,-122.4475
56,173,Daly City,37.706224,-122.468934
60,173,Colma,37.684722,-122.466111
65,188,Embarcadero,37.793056,-122.397222
66,188,West Oakland,37.8049,-122.2951
69,188,12th Street,37.803608,-122.272006
76,196,24th Street Mission,37.752,-122.4187
77,196,Glen Park,37.733118,-122.433808
84,204,Coliseum,37.753611,-122.196944
85,204,Fruitvale,37.7748,-122.2241
86,204,Lake Merritt,37.797773,-122.266588
87,204,San Leandro,37.721764,-122.160684
89,204,OAK,37.7132,-122.2122
98,211,Bay Fair,37.697,-122.1265
99,211,Berryessa,37.368361,-121.874655
100,211,Fremont,37.557489,-121.97662
101,211,Hayward,37.6697,-122.087
102,211,Milpitas,37.410278,-121.891111
103,211,South Hayward,37.634362,-122.057172
104,211,Union City,37.590746,-122.017282
105,211,Warm Springs,37.503,-121.94
